hotel_id,hotel_name,rating,no_reviews,hotel_link
52082,Liberty 2 Hotel,3.8,319.0,https://www.google.com/maps/search/Liberty%202%20Hotel%2C%20129%E2%80%93133%20Ham%20Nghi%20Street%2C%20District%201
64310,Lavender Central Hotel,4.6,599.0,https://www.google.com/maps/search/Lavender%20Central%20Hotel%20Hanoi%2C%2039%20Hang%20Bac%20Street
52086,Vinh Hung Library Hotel,4.3,409.0,https://www.google.com/maps/search/Hoi%20An%20Pho%20Library%20Hotel%2C%2096%20Ba%20Trieu%20Street
64309,La Sinfonía del Rey Hotel & Spa,4.8,917.0,"https://www.google.com/maps/place/La+Sinfon%C3%ADa+del+Rey+Hotel+%26+Spa/@21.031804,105.8485551,17z/data=!4m12!1m2!2m1!1sHanoi+L'Heritage+Centre+Hotel+%26+Spa,+39-A+,+Hang+Ga,+Hoan+Kiem+,+Hanoi,Viet+Nam!3m8!1s0x3135abc03e011fb1:0x634f7238de7f8f!5m2!4m1!1i2!8m2!3d21.0311164!4d105.8540457!16s%2Fg%2F11h7g4rwgw?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
65107,,,,https://www.google.com/maps/search/Palm%20Garden%20Beach%20Resort%20%26%20Spa%2C%20Lac%20Long%20Quan%20Road
65491,Somerset Chancellor Court Ho Chi Minh City,4.4,870.0,"https://www.google.com/maps/place/Somerset+Chancellor+Court+Ho+Chi+Minh+City/@10.7840142,106.6998052,17z/data=!4m9!3m8!1s0x317528b4bc6cc18d:0x5b3c53457c646b4a!5m2!4m1!1i2!8m2!3d10.7840142!4d106.6998052!16s%2Fg%2F1tgby7p8?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
65099,De Syloia Hotel,4.7,376.0,https://www.google.com/maps/search/De%20Syloia%20Hotel%2C%2017A%20Tran%20Hung%20Dao
65492,Somerset Ho Chi Minh City,4.4,1332.0,https://www.google.com/maps/search/Somerset%20Ho%20Chi%20Minh%20City%20Serviced%20Residence%2C%208A%2C%20Nguyen%20Binh%20Khiem%20Street%2C%20District%201
65493,Somerset Grand Hanoi,4.4,2302.0,https://www.google.com/maps/search/Somerset%20Grand%20Hanoi%20Serviced%20Residences%2C%20No%2049%2C%20Hai%20Ba%20Trung%20Street%2C%20Hoan%20Kiem%20District
66722,Halong Plaza Hotel,4.2,1018.0,https://www.google.com/maps/search/Halong%20Plaza%20Hotel%2C%208%20Halong%20Road%2C%20Baichay
70335,Hotel LakeSide,4.0,1149.0,https://www.google.com/maps/search/Lake%20Side%20Hotel%2C%2023%20Ngoc%20Khanh%2CGiang%20Vo%20ward%2C%20Ba%20Dinh%20District%2C%20HN
